EPBC_list,scientific_name,common_name,conservation_status,date_effective
fauna,Pseudomys novaehollandiae,"New Holland Mouse, Pookila",Vulnerable,11-Aug-10
fauna,Pseudomys pilligaensis,"Pilliga Mouse, Poolkoo",Vulnerable,16-Jul-00
fauna,Pteropus poliocephalus,Grey-headed Flying-fox,Vulnerable,6-Dec-01
fauna,Rhinolophus robertsi,"Large-eared Horseshoe Bat, Greater Large-eared Horseshoe Bat",Vulnerable,7-Dec-16
fauna,Rhinonicteris aurantia (Pilbara form),Pilbara Leaf-nosed Bat,Vulnerable,4-Apr-01
fauna,Saccolaimus saccolaimus nudicluniatus,"Bare-rumped Sheath-tailed Bat, Bare-rumped Sheathtail Bat",Vulnerable,7-Dec-16
fauna,Setonix brachyurus,Quokka,Vulnerable,16-Jul-00
fauna,Sminthopsis butleri,Butler's Dunnart,Vulnerable,16-Jul-00
fauna,Sminthopsis douglasi,Julia Creek Dunnart,Vulnerable,7-Dec-16
fauna,Xeromys myoides,"Water Mouse, False Water Rat, Yirrkoo",Vulnerable,16-Jul-00
fauna,Zyzomys maini,"Arnhem Rock-rat, Arnhem Land Rock-rat, Kodjperr",Vulnerable,18-Aug-06
fauna,Astacopsis gouldi,"Giant Freshwater Crayfish, Tasmanian Giant Freshwater Lobster",Vulnerable,16-Jul-00
fauna,Bertmainius colonus,Eastern Stirling Range Pygmy Trapdoor Spider,Vulnerable,11-May-18
fauna,Engaeus orramakunna,Mount Arthur Burrowing Crayfish,Vulnerable,6-Aug-01
fauna,Engaeus yabbimunna,Burnie Burrowing Crayfish,Vulnerable,6-Aug-01
fauna,Hoplogonus simsoni,Simson's Stag Beetle,Vulnerable,4-Mar-11
fauna,Hoplogonus vanderschoori,Vanderschoor's Stag Beetle,Vulnerable,4-Mar-11
fauna,Idiosoma nigrum,"Shield-backed Trapdoor Spider, Black Rugose Trapdoor Spider",Vulnerable,14-May-13
fauna,Kumonga exleyi,Cape Range Remipede,Vulnerable,16-Jul-00
fauna,Megascolides australis,Giant Gippsland Earthworm,Vulnerable,16-Jul-00
fauna,Oreisplanus munionga larana,"Marrawah Skipper, Alpine Sedge Skipper, Alpine Skipper",Vulnerable,4-Mar-11
fauna,Paralucia spinifera,"Bathurst Copper Butterfly, Purple Copper Butterfly, Bathurst Copper, Bathurst Copper Wing, Bathurst-Lithgow Copper, Purple Copper",Vulnerable,16-Jul-00
fauna,Parvulastra vivipara,Tasmanian Live-bearing Seastar,Vulnerable,30-Jun-09
fauna,Westralunio carteri,"Carter's Freshwater Mussel, Freshwater Mussel",Vulnerable,15-Feb-18
fauna,Centrophorus harrissoni,"Harrisson's Dogfish, Endeavour Dogfish, Dumb Gulper Shark, Harrison's Deepsea Dogfish",Conservation dependent,14-Jun-13
fauna,Centrophorus zeehaani,"Southern Dogfish, Endeavour Dogfish, Little Gulper Shark",Conservation dependent,14-Jun-13
fauna,Galeorhinus galeus,"School Shark, Eastern School Shark, Snapper Shark, Tope, Soupfin Shark",Conservation dependent,22-Jan-09
fauna,Hoplostethus atlanticus,"Orange Roughy, Deep-sea Perch, Red Roughy",Conservation dependent,5-Dec-06
fauna,Rexea solandri (eastern Australian population),Eastern Gemfish,Conservation dependent,22-Jan-09
fauna,Seriolella brama,Blue Warehou,Conservation dependent,14-Feb-15
fauna,Sphyrna lewini,Scalloped Hammerhead,Conservation dependent,15-Mar-18
fauna,Thunnus maccoyii,Southern Bluefin Tuna,Conservation dependent,15-Dec-10
flora,Acacia kingiana,,Extinct,16-Jul-00
flora,Acacia prismifolia,Diels' Wattle,Extinct,16-Jul-00
flora,Acianthus ledwardii,,Extinct,16-Jul-00
flora,Amperea xiphoclada var. pedicellata,,Extinct,16-Jul-00
flora,Amphibromus whitei,,Extinct,16-Jul-00
flora,Caladenia brachyscapa,Short Spider-orchid,Extinct,16-Jul-00
flora,Coleanthera virgata,Hidden Coleanthera,Extinct,16-Jul-00
flora,Deyeuxia lawrencei,,Extinct,16-Jul-00
flora,Didymoglossum exiguum,,Extinct,16-Jul-00
flora,Diuris bracteata,,Extinct,16-Jul-00
flora,Euphrasia ruptura,subshrub,Extinct,16-Jul-00
flora,Frankenia decurrens,Decurrent-leaved Frankenia,Extinct,16-Jul-00
flora,Huperzia serrata,Water Tassel-fern,Extinct,16-Jul-00
flora,Hymenophyllum lobbii,,Extinct,16-Jul-00
flora,Hymenophyllum whitei,a filmy fern,Extinct,16-Jul-00
flora,Lemmaphyllum accedens,,Extinct,16-Jul-00
flora,Lepidium drummondii,Drummond's Lepidium,Extinct,16-Jul-00
flora,Leucopogon cryptanthus,Small-flowered Leucopogon,Extinct,16-Jul-00
flora,Lycopodium volubile = Pseudodiphasium volubile,,Extinct,16-Jul-00
flora,Marsdenia araujacea,,Extinct,16-Jul-00
flora,Monogramma dareicarpa,Grass Fern,Extinct,16-Jul-00
flora,Musa fitzalanii,Daintree's River Banana,Extinct,16-Jul-00
flora,Myriocephalus nudus,,Extinct,4-Jul-19
flora,Olearia oliganthema,,Extinct,16-Jul-00
flora,Opercularia acolytantha,Esperance Dog Weed,Extinct,16-Jul-00
flora,Ozothamnus selaginoides,"Clubmoss Everlasting, Table Mountain Daisy Bush",Extinct,16-Jul-00
flora,Paspalum batianoffii,,Extinct,16-Jul-00
flora,Persoonia laxa,,Extinct,16-Jul-00
flora,Persoonia prostrata,,Extinct,16-Jul-00
flora,Pultenaea maidenii,Maiden's Bush-pea,Extinct,16-Jul-00
flora,Senecio georgianus,Grey Groundsel,Extinct,16-Jul-00
flora,Solanum bauerianum,Bridal Flower ,Extinct,11-May-18
flora,Tetratheca fasciculata,Cronin's Tetratheca,Extinct,16-Jul-00
flora,Thomasia gardneri,Mt Holland Thomasia,Extinct,16-Jul-00
flora,Tmesipteris lanceolata,,Extinct,16-Jul-00
flora,Trianthema cypseleoides,,Extinct,16-Jul-00
flora,Vanvoorstia bennettiana,Bennett's Seaweed,Extinct,16-Oct-01
flora,Abutilon julianae,Norfolk Island Abutilon,Critically Endangered,25-Nov-03
flora,Acacia cochlocarpa subsp. velutinosa,Velvety Spiral Pod Wattle,Critically Endangered,18-Aug-06
flora,Acacia dangarensis,,Critically Endangered,25-Sep-20
flora,Acacia equisetifolia,a shrub,Critically Endangered,18-Aug-06
flora,Acacia leptoneura,,Critically Endangered,24-Sep-15
flora,Acacia purpureopetala,Purple-flowered Wattle,Critically Endangered,24-Jan-14
flora,Acacia unguicula,a shrub,Critically Endangered,18-Aug-06
flora,Acanthocladium dockeri,"Spiny Everlasting, Spiny Daisy",Critically Endangered,27-Nov-06
flora,Achyranthes arborescens,"Chaff Tree, Soft-wood",Critically Endangered,25-Nov-03
flora,Achyranthes margaretarum,Phillip Island Chaffy Tree,Critically Endangered,25-Nov-03
flora,Andersonia annelsii,,Critically Endangered,11-May-18
flora,Androcalva adenothalia,,Critically Endangered,4-Jul-19
flora,Androcalva bivillosa,Straggling Androcalva,Critically Endangered,11-May-18
flora,Anthosachne kingiana subsp. kingiana,Phillip Island Wheat Grass,Critically Endangered,25-Nov-03
flora,Antrophyum austroqueenslandicum,"Border Ranges Lined Fern, Lamington Ox Tongue Fern",Critically Endangered,4-Nov-20
flora,Asplenium listeri,Christmas Island Spleenwort,Critically Endangered,23-Jul-02
flora,Atalaya brevialata,,Critically Endangered,14-Dec-13
flora,Austrostipa jacobsiana,,Critically Endangered,15-Feb-18
flora,Azorella macquariensis,"Macquarie Azorella, Macquarie Cushions",Critically Endangered,19-Aug-10
flora,Banksia anatona,Cactus Dryandra,Critically Endangered,14-May-13
flora,Banksia aurantia,Orange Dryandra,Critically Endangered,14-May-13
flora,Banksia fuscobractea,Dark-bract Banksia,Critically Endangered,1-Dec-09
flora,Banksia serratuloides subsp. perissa,Northern Serrate Dryandra,Critically Endangered,14-May-13
flora,Banksia vincentia,,Critically Endangered,15-Feb-18
flora,Boehmeria australis subsp. australis,"Tree Nettle, Nettletree",Critically Endangered,25-Nov-03
flora,Bossiaea fragrans,,Critically Endangered,11-May-18
flora,Brachychiton sp. Ormeau (L.H.Bird AQ435851),Ormeau Bottle Tree,Critically Endangered,9-Mar-13
flora,Brachyscias verecundus,Ironstone Brachyscias,Critically Endangered,18-Aug-06
flora,Bruguiera x hainesii,Haines's Orange Mangrove,Critically Endangered,22-Feb-19
flora,Caladenia actensis,Canberra Spider Orchid,Critically Endangered,6-Jun-05
flora,Caladenia anthracina,Black-tipped Spider-orchid,Critically Endangered,16-Oct-01
flora,Caladenia attenuata,Duramana Fingers,Critically Endangered,11-May-18
flora,Caladenia campbellii,Thick-stem Caladenia,Critically Endangered,16-Oct-01
flora,Caladenia cremna,Don's Spider Orchid,Critically Endangered,12-Feb-10
flora,Caladenia intuta,Ghost Spider-orchid,Critically Endangered,8-Jan-09
flora,Caladenia lindleyana,Lindley's Spider-orchid,Critically Endangered,16-Oct-01
flora,Caladenia lodgeana,Lodge's Spider-orchid,Critically Endangered,26-Feb-13
flora,Caladenia luteola,Lemon Spider Orchid,Critically Endangered,15-Feb-18
flora,Caladenia melanema,Ballerina Orchid,Critically Endangered,8-Jan-09
flora,Caladenia pallida,"Rosy Spider-orchid, Pale Spider-orchid, Summer Spider-orchid",Critically Endangered,16-Oct-01
flora,Caladenia procera,Carbunup King Spider Orchid,Critically Endangered,8-Jan-09
flora,Caladenia pumila,Dwarf Spider-orchid,Critically Endangered,30-Sep-11
flora,Caladenia saggicola,Sagg Spider-orchid,Critically Endangered,16-Oct-01
flora,Caladenia sp. Kilsyth South (G.S.Lorimer 1253),Kilsyth South Spider-orchid,Critically Endangered,4-Oct-01
flora,Caladenia sylvicola,Forest Fingers,Critically Endangered,16-Oct-01
flora,Caladenia tonellii,Robust Fingers,Critically Endangered,16-Oct-01
flora,Calectasia cyanea,Blue Tinsel Lily,Critically Endangered,18-Aug-06
flora,Callistemon megalongensis,Megalong Valley Bottlebrush,Critically Endangered,17-Nov-15
flora,Callistemon purpurascens,a bottlebrush,Critically Endangered,11-May-18
flora,Callistemon wimmerensis,Wimmera Bottlebrush,Critically Endangered,31-Mar-11
flora,Calochilus cupreus,Copper Beard Orchid,Critically Endangered,5-May-16
flora,Calystegia affinis,,Critically Endangered,25-Nov-03
flora,Cassinia tegulata,Avenue Cassinia,Critically Endangered,8-Jan-09
flora,Clausena excavata,,Critically Endangered,4-Jul-19
flora,Clematis dubia,"a creeper, Clematis",Critically Endangered,25-Nov-03
flora,Commersonia apella,Many-flowered Commersonia,Critically Endangered,15-Feb-18
flora,Conospermum galeatum,,Critically Endangered,11-May-18
flora,Conostylis setigera subsp. dasys,Boscabel Conostylis,Critically Endangered,11-Jun-09
flora,Corunastylis ectopa,"Brindabella Midge-orchid, Ectopic Midge-orchid",Critically Endangered,6-Jun-05
flora,Corunastylis firthii,Firth's Midge-orchid,Critically Endangered,16-Oct-01
flora,Corunastylis insignis,"Wyong Midge Orchid 1, Variable Midge Orchid 1",Critically Endangered,19-Jul-14
flora,Corunastylis littoralis,Tuncurry Midge Orchid,Critically Endangered,22-Feb-11
flora,Corunastylis sp. Charmhaven (NSW 896673),Wyong Midge Orchid 2,Critically Endangered,19-Jul-14
flora,Corybas sulcatus,Grooved Helmet-orchid,Critically Endangered,26-Feb-13
flora,Darwinia foetida,Muchea Bell,Critically Endangered,11-Jun-09
flora,Dasymalla axillaris,Native Foxglove,Critically Endangered,19-Aug-10
flora,Daviesia glossosema,Maroon-flowered Daviesia,Critically Endangered,18-Aug-06
flora,Daviesia ovata,Broad-leaf Daviesia,Critically Endangered,11-May-18
flora,Diuris flavescens,"Pale Yellow Doubletail, Wingham Doubletail",Critically Endangered,24-Jan-14
flora,Duma horrida subsp. abdita,Remote Thorny Lignum,Critically Endangered,18-Aug-06
flora,Eidothea hardeniana,Nightcap Oak,Critically Endangered,23-Jul-02
flora,Elatostema montanum,Mountain Procris,Critically Endangered,25-Nov-03
flora,Epacris graniticola,"Mt Cameron Heath, Granite Heath",Critically Endangered,30-Jun-09
flora,Epacris limbata,"Border Heath, Bordered Heath",Critically Endangered,23-Jul-02
flora,Epacris stuartii,"Stuart's Heath, Southport Heath",Critically Endangered,16-Oct-01
flora,Eremophila glabra subsp. Scaddan (C. Turley s.n. 10/11/2005) ,,Critically Endangered,4-Jul-19
flora,Eremophila koobabbiensis,"Koobabbie Eremophila, Koobabbie Poverty Bush",Critically Endangered,1-Dec-09
flora,Eremophila rostrata,Beaked Eremophila,Critically Endangered,1-Dec-09
flora,Eremophila sp. Narrow leaves (J.D.Start D12-150),,Critically Endangered,11-May-18
flora,Eucalyptus recurva,Mongarlowe Mallee,Critically Endangered,9-Apr-15
flora,"Eucalyptus sp. Cattai (Gregson s.n., 28 Aug 1954)",,Critically Endangered,11-May-18
flora,Euphorbia norfolkiana,Norfolk Island Euphorbia,Critically Endangered,25-Nov-03
flora,Euphrasia arguta,,Critically Endangered,19-Mar-11
flora,Euphrasia fragosa,"Shy Eyebright, Southport Eyebright",Critically Endangered,16-Oct-01
flora,Euphrasia gibbsiae subsp. psilantherea,Swamp Eyebright,Critically Endangered,16-Oct-01
flora,Fontainea oraria,Coastal Fontainea,Critically Endangered,4-Jul-19
flora,Galium antarcticum,Subantarctic Bedstraw,Critically Endangered,26-Feb-13
flora,Gastrolobium argyrotrichum,Metricup Pea,Critically Endangered,11-May-18
flora,Gastrolobium diabolophyllum,Bodallin Poison,Critically Endangered,11-Jun-09
flora,Gastrolobium luteifolium,Yellow-leafed Gastrolobium,Critically Endangered,1-Dec-09
flora,Gastrolobium vestitum,,Critically Endangered,11-May-18
flora,Gentiana bredboensis,Bredbo Gentian,Critically Endangered,4-Jul-19
flora,Grevillea brachystylis subsp. grandis,Large-flowered Short-styled Grevillea,Critically Endangered,8-Jan-09
flora,Grevillea bracteosa subsp. howatharra,,Critically Endangered,15-Aug-17
flora,Grevillea caleyi,Caley's Grevillea,Critically Endangered,11-May-18
flora,Grevillea sp. Gillingarra (R.J.Cranfield 4087),,Critically Endangered,11-May-18
flora,Grevillea thelemanniana,Spider Net Grevillea,Critically Endangered,15-Feb-18
flora,Guichenotia seorsiflora,,Critically Endangered,1-Dec-09
flora,Gyrostemon reticulatus,Net-veined Gyrostemon,Critically Endangered,18-Aug-06
flora,Haloragis platycarpa,Broad-fruited Haloragis,Critically Endangered,18-Aug-06
flora,Hemigenia ramosissima,Branched Hemigenia,Critically Endangered,11-Jun-09
flora,Hibbertia abyssus,Bandalup Buttercup,Critically Endangered,7-Dec-16
flora,Hibbertia priceana,,Critically Endangered,11-Jun-09
flora,Hibbertia puberula subsp. glabrescens,,Critically Endangered,16-Jan-09
flora,Hibbertia barrettiae,,Critically Endangered,4-Jul-19
flora,Hibbertia spanantha,Julian's Hibbertia,Critically Endangered,7-Dec-16
flora,Hibbertia tenuis,,Critically Endangered,19-Aug-10
flora,Hibiscus insularis,Phillip Island Hibiscus,Critically Endangered,25-Nov-03
flora,Homoranthus bebo,,Critically Endangered,4-Jul-19
flora,Hybanthus cymulosus,Ninghan Violet,Critically Endangered,1-Dec-09
flora,Isopogon robustus,Robust Coneflower,Critically Endangered,11-Jun-09
flora,Kunzea similis subsp. similis,,Critically Endangered,11-May-18
flora,Lasiopetalum sp. Mount Caroline (S.D. Hopper SDH 6381),,Critically Endangered,4-Jul-19
flora,Lasiopetalum sp. Proston (J.A.Baker 17),Proston Lasiopetalum,Critically Endangered,12-Feb-10
flora,Latrobea colophona,,Critically Endangered,11-May-18
flora,Lepidorrhachis mooreana,"Little Mountain Palm, Moorei Palm",Critically Endangered,26-Jun-15
flora,"Leucopogon sp. Flynn (F.Hort, J.Hort & A.Lowrie 859)",,Critically Endangered,11-May-18
flora,Leucopogon spectabilis,Ironstone Beard-heath,Critically Endangered,19-Aug-10
flora,Lomatia tasmanica,King's Lomatia,Critically Endangered,16-Oct-01
flora,Lysiosepalum abollatum,Woolly Lysiosepalum,Critically Endangered,14-May-13
flora,Melicytus latifolius,Norfolk Island Mahoe,Critically Endangered,25-Nov-03
flora,Meryta latifolia,"Shade Tree, Broad-leaved Meryta",Critically Endangered,25-Nov-03
flora,Myoporum obscurum,"Popwood, Sandalwood, Bastard Ironwood",Critically Endangered,25-Nov-03
flora,Nematoceras dienemum,Windswept Helmet-orchid,Critically Endangered,12-Feb-10
flora,Nitella parooensis,a green alga,Critically Endangered,11-Dec-20
flora,Notelaea ipsviciensis,Cooneana Olive,Critically Endangered,16-Jan-09
flora,Oberonia attenuata,Mossman Fairy Orchid,Critically Endangered,30-Apr-16
flora,Paragoodia crenulata,,Critically Endangered,14-May-13
flora,Persoonia pauciflora,North Rothbury Persoonia,Critically Endangered,8-Jul-05
flora,Phebalium daviesii,"Davies' Waxflower, St Helens Waxflower",Critically Endangered,16-Oct-01
flora,Phebalium distans,Mt Berryman Phebalium,Critically Endangered,24-Dec-08
flora,Phebalium speciosum ,,Critically Endangered,4-Jul-19
flora,Philotheca falcata,Sickle-leaved Waxflower,Critically Endangered,30-Sep-11
flora,Phlegmariurus squarrosus,"Rock Tassel-fern, Water Tassel-fern",Critically Endangered,25-Jan-14
flora,Phreatia limenophylax,Norfolk Island Phreatia,Critically Endangered,25-Nov-03
flora,Pimelea spinescens subsp. pubiflora,Wimmera Rice-flower,Critically Endangered,10-Jun-09
flora,Pimelea spinescens subsp. spinescens,"Plains Rice-flower, Spiny Rice-flower, Prickly Pimelea",Critically Endangered,1-May-03
flora,Pneumatopteris truncata,fern,Critically Endangered,6-Jul-04
flora,Pomaderris delicata,,Critically Endangered,11-May-18
flora,Pomaderris reperta,Denman Pomaderris,Critically Endangered,8-Jan-08
flora,Pomaderris vacciniifolia,Round-leaf Pomaderris,Critically Endangered,24-Jan-14
flora,Pomaderris walshii,Carrington Falls Pomaderris,Critically Endangered,25-Sep-20
flora,Prasophyllum atratum,Three Hummock Leek-orchid,Critically Endangered,13-Nov-09
flora,Prasophyllum bagoense,Bago Leek-orchid,Critically Endangered,3-May-12
flora,Prasophyllum castaneum,Chestnut Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum favonium,Western Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum incorrectum,Golfers Leek-orchid,Critically Endangered,26-Nov-08
flora,Prasophyllum innubum,Brandy Marys Leek-orchid,Critically Endangered,24-Jan-14
flora,Prasophyllum keltonii,Kelton's Leek-orchid,Critically Endangered,24-Jan-14
flora,Prasophyllum laxum,Lax Leek Orchid,Critically Endangered,9-Apr-15
flora,Prasophyllum limnetes,Marsh Leek-orchid,Critically Endangered,13-Nov-09
flora,Prasophyllum milfordense,Milford Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum murfetii,Fleurieu Leek Orchid,Critically Endangered,27-Nov-06
flora,Prasophyllum olidum,Pungent Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum perangustum,Knocklofty Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum pulchellum,Pretty Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum robustum,Robust Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum sp. Wybong (C.Phelps ORG 5269),a leek-orchid,Critically Endangered,13-Nov-09
flora,Prasophyllum stellatum,Ben Lomond Leek-orchid,Critically Endangered,16-Oct-01
flora,Prasophyllum taphanyx,Graveside Leek-orchid,Critically Endangered,26-Nov-08
flora,Prostanthera albohirta,,Critically Endangered,17-Apr-14
flora,Prostanthera clotteniana,,Critically Endangered,30-Sep-11
flora,Prostanthera marifolia,Seaforth Mintbush,Critically Endangered,30-Sep-11
flora,Pterostylis bryophila,Hindmarsh Valley Greenhood,Critically Endangered,27-Nov-06
flora,Pterostylis commutata,Midland Greenhood,Critically Endangered,16-Oct-01
flora,Pterostylis oreophila,"Blue-tongued Orchid, Kiandra Greenhood",Critically Endangered,3-May-12
flora,Pterostylis psammophila,Two-bristle Greenhood,Critically Endangered,5-May-16
flora,Pterostylis valida,Robust Greenhood,Critically Endangered,30-Sep-11
flora,Pterostylis vernalis,Halbury Rustyhood,Critically Endangered,12-Feb-10
flora,Pterostylis wapstrarum,Fleshy Greenhood,Critically Endangered,16-Oct-01
flora,Ptilotus pyramidatus,Pyramid Mulla-mulla,Critically Endangered,12-Dec-13
flora,Pultenaea sp. Genowlan Point (NSW 417813),"Genowlan Point Pultenaea, Genowlan Pultenaea",Critically Endangered,15-Dec-04
flora,Reedia spathacea,Reedia,Critically Endangered,7-Jan-09
flora,Rhizanthella gardneri,"Western Underground Orchid, Underground Orchid ",Critically Endangered,25-Sep-20
flora,Rhizanthella johnstonii,South Coast Underground Orchid,Critically Endangered,25-Sep-20
flora,Rhodamnia rubescens,"Scrub Turpentine, Brown Malletwood",Critically Endangered,11-Dec-20
flora,Rhodomyrtus psidioides,Native Guava,Critically Endangered,12-Dec-20
flora,Scaevola macrophylla,Large-flowered Scaevola,Critically Endangered,19-Aug-10
flora,Seringia exastia,Fringed Fire-bush,Critically Endangered,24-Dec-09
flora,Sphaerolobium acanthos,Grampians Globe-pea,Critically Endangered,7-Dec-16
flora,Stylidium amabile,,Critically Endangered,4-Jul-19
flora,Stylidium applanatum,Flat-leaved Triggerplant,Critically Endangered,15-Feb-18
flora,Stylidium semaphorum,,Critically Endangered,11-May-18
flora,Styphelia longissima,,Critically Endangered,11-May-18
flora,Synaphea sp. Fairbridge Farm (D. Papenfus 696),Selena's Synaphea,Critically Endangered,24-Dec-09
flora,Synaphea sp. Pinjarra (R. Davis 6578),Club-leafed Synaphea,Critically Endangered,24-Dec-09
flora,Synaphea sp. Serpentine (G.R. Brand 103),,Critically Endangered,15-Feb-18
flora,Tetratheca gunnii,"Shy Pinkbells, Shy Susan",Critically Endangered,16-Oct-01
flora,Tetratheca nephelioides,,Critically Endangered,14-May-13
flora,Thelymitra adorata,Wyong Sun Orchid,Critically Endangered,19-Jul-14
flora,Thelymitra cyanapicata,"Blue Top Sun-orchid, Dark-tipped Sun-orchid",Critically Endangered,8-Jan-09
flora,Thelymitra hygrophila,Blue Star Sun-orchid,Critically Endangered,5-May-16
flora,Thelymitra kangaloonica,Kangaloon Sun Orchid,Critically Endangered,8-Jan-09
flora,Thynninorchis nothofagicola,Myrtle Elbow Orchid,Critically Endangered,16-Oct-01
flora,Veronica derwentiana subsp. homalodonta,Mount Lofty Speedwell,Critically Endangered,24-Dec-09
flora,Verticordia apecta,"Hay River Featherflower, Scruffy Verticordia",Critically Endangered,19-Aug-10
flora,Wikstroemia australis,Kurrajong,Critically Endangered,25-Nov-03
flora,Wollemia nobilis,Wollemi Pine,Critically Endangered,11-May-18
flora,Zieria buxijugum,Box Range Zieria,Critically Endangered,25-Sep-20
flora,Zieria odorifera subsp. warrabahensis,,Critically Endangered,25-Sep-20
flora,Zieria parrisiae,Parris's Zieria,Critically Endangered,11-May-18
flora,Acacia aprica,Blunt Wattle,Endangered,16-Jul-00
flora,Acacia aristulata,Watheroo Wattle,Endangered,16-Jul-00
flora,Acacia ataxiphylla subsp. magna,Large-fruited Tammin Wattle,Endangered,16-Jul-00
flora,Acacia auratiflora,Orange-flowered Wattle,Endangered,16-Jul-00
flora,Acacia brachypoda,Western Wheatbelt Wattle,Endangered,16-Jul-00
flora,Acacia chapmanii subsp. australis,,Endangered,18-Aug-06
flora,Acacia cochlocarpa subsp. cochlocarpa,Spiral-fruited Wattle,Endangered,16-Jul-00
flora,Acacia cretacea,Chalky Wattle,Endangered,16-Jul-00
flora,Acacia enterocarpa,Jumping-jack Wattle,Endangered,16-Jul-00
flora,Acacia gordonii,,Endangered,16-Jul-00
flora,Acacia imitans,Gibson Wattle,Endangered,8-Jan-09
flora,Acacia insolita subsp. recurva,Yornaning Wattle,Endangered,16-Jul-00
flora,Acacia lanuginophylla,Woolly Wattle,Endangered,16-Jul-00
flora,Acacia leptalea,Chinocup Wattle,Endangered,16-Jul-00
flora,Acacia lobulata,Chiddarcooping Wattle,Endangered,16-Jul-00
flora,Acacia meiantha,,Endangered,11-May-18
flora,Acacia pharangites,Wongan Gully Wattle,Endangered,16-Jul-00
flora,Acacia pinguifolia,"Fat-leaved Wattle, Fat-leaf Wattle",Endangered,16-Jul-00
flora,Acacia porcata,,Endangered,16-Jul-00
flora,Acacia pygmaea,Dwarf Rock Wattle,Endangered,16-Jul-00
flora,Acacia recurvata,Recurved Wattle,Endangered,16-Jul-00
flora,Acacia rhamphophylla,Kundip Wattle,Endangered,16-Jul-00
flora,Acacia ruppii,Rupp's Wattle,Endangered,16-Jul-00
flora,Acacia sciophanes,"Wundowlin Wattle, Ghost Wattle",Endangered,16-Jul-00
flora,Acacia spilleriana,Spiller's Wattle,Endangered,24-Dec-09
flora,Acacia splendens,"Splendid Wattle, Dandaragan Wattle",Endangered,16-Jul-00
flora,Acacia subflexuosa subsp. capillata,Hairy-stemmed Zig-Zag Wattle,Endangered,16-Jul-00
flora,Acacia terminalis subsp. terminalis MS,Sunshine Wattle (Sydney region),Endangered,16-Jul-00
flora,Acacia vassalii,Vassal's Wattle,Endangered,16-Jul-00
flora,Acacia volubilis,"Tangled Wattle, Tangle Wattle",Endangered,16-Jul-00
flora,Acacia whibleyana,"Whibley Wattle, Whibley's Wattle",Endangered,16-Jul-00
flora,Acacia wilsonii,Wilson's Wattle,Endangered,11-May-18
flora,Acacia woodmaniorum,Woodman's Wattle,Endangered,4-Jul-19
flora,Acronychia littoralis,Scented Acronychia,Endangered,16-Jul-00
flora,Adenanthos dobagii,Fitzgerald Woollybush,Endangered,16-Jul-00
flora,Adenanthos eyrei,Toolinna Adenanthos,Endangered,16-Jul-00
flora,Adenanthos pungens subsp. effusus,Sprawling Spiky Adenanthos,Endangered,16-Jul-00
flora,Adenanthos velutinus,Velvet Woollybush,Endangered,16-Jul-00
flora,Alectryon ramiflorus,Isis Tamarind,Endangered,16-Jul-00
flora,Allocasuarina defungens,Dwarf Heath Casuarina,Endangered,16-Jul-00
flora,Allocasuarina emuina,"Emu Mountain Sheoak, Mt Emu She-oak",Endangered,16-Jul-00
flora,Allocasuarina glareicola,,Endangered,16-Jul-00
flora,Allocasuarina portuensis,Nielsen Park She-oak,Endangered,16-Jul-00
flora,Allocasuarina robusta,Mount Compass Oak-bush,Endangered,27-Nov-06
flora,Allocasuarina thalassoscopica,,Endangered,16-Jul-00
flora,Amyema plicatula,,Endangered,16-Jul-00
flora,Andersonia axilliflora,Giant Andersonia,Endangered,16-Jul-00
flora,Andersonia gracilis,Slender Andersonia,Endangered,16-Jul-00
flora,Androcalva perlaria,Pearl-like Androcalva,Endangered,4-Jul-19
flora,Androcalva rosea,Sandy Hollow Commersonia,Endangered,8-Jan-08
flora,Anigozanthos bicolor subsp. minor,"Little Kangaroo Paw, Two-coloured Kangaroo Paw, Small Two-colour Kangaroo Paw",Endangered,16-Jul-00
flora,Aponogeton bullosus,,Endangered,16-Jul-00
flora,Aponogeton prolifer,an aquatic herb,Endangered,16-Jul-00
flora,Archontophoenix myolensis,"Myola Palm, Myola Archontophoenix",Endangered,16-Jul-00
flora,Aristida granitica,,Endangered,16-Jul-00
flora,Asterolasia elegans,,Endangered,16-Jul-00
flora,Astrotricha roddii,,Endangered,16-Jul-00
flora,Atalaya collina,Yarwun Whitewood,Endangered,16-Jul-00
flora,Atriplex yeelirrie,,Endangered,22-Oct-15
flora,Austrostipa bronwenae,,Endangered,15-Feb-18
flora,Austrostipa wakoolica,,Endangered,16-Jul-00
flora,Baeckea kandos,a shrub,Endangered,16-Jul-00
flora,Ballantinia antipoda,Southern Shepherd's Purse,Endangered,16-Jul-00
flora,Banksia brownii,"Brown's Banksia, Feather-leaved Banksia",Endangered,16-Jul-00
flora,Banksia cuneata,"Matchstick Banksia, Quairading Banksia",Endangered,16-Jul-00
flora,Banksia ionthocarpa,Kamballup Dryandra,Endangered,16-Jul-00
